relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
disease_disease,parent-child,35888,16342_17401_17402_17403,disease,familial isolated arrhythmogenic ventricular dysplasia,MONDO_grouped,27299,12684_908_12434_12180_12506_11459_11831_11460_11189_7152_11188_10975,disease,arrhythmogenic right ventricular dysplasia,MONDO_grouped
disease_disease,parent-child,35958,19050_4781_44348_44349,disease,hemoglobinopathy,MONDO_grouped,95353,3674_990,disease,subendocardial myocardial infarction,MONDO_grouped
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,35660,992,disease,heart conduction disease,MONDO
disease_disease,parent-child,29945,1056,disease,gastric cancer,MONDO,37274,1063,disease,cardia cancer,MONDO
disease_disease,parent-child,35958,19050_4781_44348_44349,disease,hemoglobinopathy,MONDO_grouped,95392,1089,disease,acute inferolateral myocardial infarction,MONDO
disease_disease,parent-child,35958,19050_4781_44348_44349,disease,hemoglobinopathy,MONDO_grouped,83824,6652_3678_1090_3672_3673_3676_3677_3679_6803,disease,myocardial infarction,MONDO_grouped
disease_disease,parent-child,33673,1370,disease,pericardial effusion (disease),MONDO,84224,1297,disease,cardiac tamponade,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,95477,1302,disease,hypertensive heart disease,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,36973,1322,disease,pericardium cancer,MONDO
disease_disease,parent-child,36160,21209,disease,heart neoplasm,MONDO,36149,1340,disease,heart cancer,MONDO
disease_disease,parent-child,36161,3274,disease,thoracic cancer,MONDO,36149,1340,disease,heart cancer,MONDO
disease_disease,parent-child,36162,2100,disease,cardiovascular cancer,MONDO,36149,1340,disease,heart cancer,MONDO
disease_disease,parent-child,36179,474,disease,pericardium disease,MONDO,33673,1370,disease,pericardial effusion (disease),MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,35850,1389,disease,congenital coronary artery anomaly,MONDO
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,35850,1389,disease,congenital coronary artery anomaly,MONDO
disease_disease,parent-child,36235,1493,disease,chronic pulmonary heart disease,MONDO,95559,1492,disease,kyphoscoliotic heart disease,MONDO
disease_disease,parent-child,36236,4596,disease,cor pulmonale,MONDO,36235,1493,disease,chronic pulmonary heart disease,MONDO
disease_disease,parent-child,30802,7721,disease,hiatus hernia (disease),MONDO,95594,1562,disease,displacement of cardia through esophageal hiatus,MONDO
disease_disease,parent-child,32967,19338,disease,sarcoidosis,MONDO,95657,1707,disease,cardiac sarcoidosis,MONDO
disease_disease,parent-child,36341,16345,disease,non-familial restrictive cardiomyopathy,MONDO,95657,1707,disease,cardiac sarcoidosis,MONDO
disease_disease,parent-child,36401,469,disease,sinoatrial node disease,MONDO,38958,1823,disease,sick sinus syndrome,MONDO
disease_disease,parent-child,36432,5009,disease,congestive heart failure,MONDO,95757,1899,disease,rheumatic congestive heart failure,MONDO
disease_disease,parent-child,36433,6955,disease,rheumatic heart disease,MONDO,95757,1899,disease,rheumatic congestive heart failure,MONDO
disease_disease,parent-child,36459,17827,disease,malignant peripheral nerve sheath tumor,MONDO,95794,1990,disease,malignant cardiac peripheral nerve sheath neoplasm,MONDO
disease_disease,parent-child,36460,3354,disease,heart sarcoma,MONDO,95794,1990,disease,malignant cardiac peripheral nerve sheath neoplasm,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,95795,1991,disease,malignant cardiac germ cell tumor,MONDO
disease_disease,parent-child,36461,20589,disease,cardiac germ cell tumor,MONDO,95795,1991,disease,malignant cardiac germ cell tumor,MONDO
disease_disease,parent-child,35706,3113,disease,extragonadal germ cell cancer,MONDO,95795,1991,disease,malignant cardiac germ cell tumor,MONDO
disease_disease,parent-child,36235,1493,disease,chronic pulmonary heart disease,MONDO,38437,1999_5149,disease,pulmonary hypertension,MONDO_grouped
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,29318,13746_13749_13748_2070,disease,ventricular septal defect,MONDO_grouped
disease_disease,parent-child,36491,2078,disease,heart septal defect,MONDO,29318,13746_13749_13748_2070,disease,ventricular septal defect,MONDO_grouped
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,36491,2078,disease,heart septal defect,MONDO
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,27326,100316_12738_14550_14548_13279_12737_13062_12736_11377_32915_13370_13367_13372_2442_32756,disease,long QT syndrome,MONDO_grouped
disease_disease,parent-child,36837,21322,disease,malignant tumor of meninges,MONDO,36956,2772,disease,intraventricular meningioma,MONDO
disease_disease,parent-child,36838,642,disease,brain meningioma,MONDO,36956,2772,disease,intraventricular meningioma,MONDO
disease_disease,parent-child,36781,2682,disease,cerebral ventricle cancer,MONDO,36956,2772,disease,intraventricular meningioma,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,35670,2869,disease,heart valve disease,MONDO
disease_disease,parent-child,36956,2772,disease,intraventricular meningioma,MONDO,96103,3053,disease,choroid plexus meningioma,MONDO
disease_disease,parent-child,37018,3250,disease,benign granular cell tumor,MONDO,96160,3254,disease,cardiac granular cell neoplasm,MONDO
disease_disease,parent-child,37019,21508,disease,benign neoplasm of epicardium,MONDO,96160,3254,disease,cardiac granular cell neoplasm,MONDO
disease_disease,parent-child,36535,5058,disease,leiomyosarcoma,MONDO,96207,3353,disease,heart leiomyosarcoma,MONDO
disease_disease,parent-child,36460,3354,disease,heart sarcoma,MONDO,96207,3353,disease,heart leiomyosarcoma,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,36460,3354,disease,heart sarcoma,MONDO
disease_disease,parent-child,36078,18078,disease,soft tissue sarcoma,MONDO,36460,3354,disease,heart sarcoma,MONDO
disease_disease,parent-child,35670,2869,disease,heart valve disease,MONDO,36441,3628,disease,pulmonary valve disease,MONDO
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,96335,3670,disease,posteroinferior myocardial infarction,MONDO
disease_disease,parent-child,35721,3939,disease,muscle tissue disease,MONDO,96336,3671,disease,septal myocardial infarction,MONDO
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,96336,3671,disease,septal myocardial infarction,MONDO
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,83824,6652_3678_1090_3672_3673_3676_3677_3679_6803,disease,myocardial infarction,MONDO_grouped
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,95353,3674_990,disease,subendocardial myocardial infarction,MONDO_grouped
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,96337,3675,disease,posterolateral myocardial infarction,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,96342,3687,disease,endocardium cancer,MONDO
disease_disease,parent-child,33708,5164,disease,fibrosarcoma (disease),MONDO,96373,3742,disease,heart fibrosarcoma,MONDO
disease_disease,parent-child,36460,3354,disease,heart sarcoma,MONDO,96373,3742,disease,heart fibrosarcoma,MONDO
disease_disease,parent-child,36611,5094,disease,hemangiopericytoma,MONDO,96374,3743,disease,heart malignant hemangiopericytoma,MONDO
disease_disease,parent-child,36160,21209,disease,heart neoplasm,MONDO,96374,3743,disease,heart malignant hemangiopericytoma,MONDO
disease_disease,parent-child,35670,2869,disease,heart valve disease,MONDO,36137,3767,disease,mitral valve disease,MONDO
disease_disease,parent-child,36956,2772,disease,intraventricular meningioma,MONDO,96388,3775,disease,lateral ventricle meningioma,MONDO
disease_disease,parent-child,37256,45001,disease,cardiac ventricle disease,MONDO,31047,32783_24523_13902_3803,disease,aortic valve disease,MONDO_grouped
disease_disease,parent-child,35670,2869,disease,heart valve disease,MONDO,31047,32783_24523_13902_3803,disease,aortic valve disease,MONDO_grouped
disease_disease,parent-child,30725,6292,disease,malignant mesothelioma (disease),MONDO,94622,3805,disease,malignant pericardial mesothelioma,MONDO
disease_disease,parent-child,36973,1322,disease,pericardium cancer,MONDO,94622,3805,disease,malignant pericardial mesothelioma,MONDO
disease_disease,parent-child,37273,4950,disease,gastric carcinoma,MONDO,37275,3834,disease,gastric cardia carcinoma,MONDO
disease_disease,parent-child,37274,1063,disease,cardia cancer,MONDO,37275,3834,disease,gastric cardia carcinoma,MONDO
disease_disease,parent-child,36004,5036,disease,gastric adenocarcinoma,MONDO,96408,3835,disease,gastric cardia adenocarcinoma,MONDO
disease_disease,parent-child,37275,3834,disease,gastric cardia carcinoma,MONDO,96408,3835,disease,gastric cardia adenocarcinoma,MONDO
disease_disease,parent-child,37280,3841,disease,heart lipoma,MONDO,96411,3840,disease,epicardium lipoma,MONDO
disease_disease,parent-child,35934,5106,disease,lipoma,MONDO,37280,3841,disease,heart lipoma,MONDO
disease_disease,parent-child,37281,21450,disease,benign neoplasm of heart,MONDO,37280,3841,disease,heart lipoma,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,96459,3917,disease,heart lymphoma,MONDO
disease_disease,parent-child,35970,5062,disease,lymphoma,MONDO,96459,3917,disease,heart lymphoma,MONDO
disease_disease,parent-child,37210,3517,disease,mature teratoma,MONDO,96772,4432,disease,mature pericardial teratoma,MONDO
disease_disease,parent-child,36150,21381,disease,neoplasm of pericardium,MONDO,96772,4432,disease,mature pericardial teratoma,MONDO
disease_disease,parent-child,37522,24643,disease,myocardial disorder,MONDO,36041,4496,disease,myocarditis,MONDO
disease_disease,parent-child,37523,24636,disease,inflammation of heart layer,MONDO,36041,4496,disease,myocarditis,MONDO
disease_disease,parent-child,36433,6955,disease,rheumatic heart disease,MONDO,96870,4582,disease,rheumatic myocarditis,MONDO
disease_disease,parent-child,36236,4596,disease,cor pulmonale,MONDO,37550,4595,disease,acute pulmonary heart disease,MONDO
disease_disease,parent-child,36432,5009,disease,congestive heart failure,MONDO,36236,4596,disease,cor pulmonale,MONDO
disease_disease,parent-child,37550,4595,disease,acute pulmonary heart disease,MONDO,96876,4597,disease,pulmonary embolism and infarction,MONDO
disease_disease,parent-child,37550,4595,disease,acute pulmonary heart disease,MONDO,96877,4598,disease,acute cor pulmonale,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,96923,4749,disease,myocardium cancer,MONDO
disease_disease,parent-child,36149,1340,disease,heart cancer,MONDO,96924,4752,disease,neurofibroma of the heart,MONDO
disease_disease,parent-child,27818,16755,disease,neurofibroma,MONDO,96924,4752,disease,neurofibroma of the heart,MONDO
disease_disease,parent-child,36027,21089,disease,peripheral nervous system cancer,MONDO,96924,4752,disease,neurofibroma of the heart,MONDO
disease_disease,parent-child,35958,19050_4781_44348_44349,disease,hemoglobinopathy,MONDO_grouped,96938,4780,disease,strictly posterior acute myocardial infarction,MONDO
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,35958,19050_4781_44348_44349,disease,hemoglobinopathy,MONDO_grouped
disease_disease,parent-child,37180,5068,disease,myocardial infarction (disease),MONDO,94729,4876,disease,myocardial stunning,MONDO
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,28836,9433_13752_4933,disease,hypoplastic left heart syndrome,MONDO_grouped
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,28836,9433_13752_4933,disease,hypoplastic left heart syndrome,MONDO_grouped
disease_disease,parent-child,37643,19820,disease,univentricular cardiopathy,MONDO,28836,9433_13752_4933,disease,hypoplastic left heart syndrome,MONDO_grouped
disease_disease,parent-child,37644,5584,disease,congenital left-sided heart lesions,MONDO,28836,9433_13752_4933,disease,hypoplastic left heart syndrome,MONDO_grouped
disease_disease,parent-child,35690,2254,disease,syndromic disease,MONDO,28836,9433_13752_4933,disease,hypoplastic left heart syndrome,MONDO_grouped
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,33618,4981,disease,atrial fibrillation (disease),MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,35531,4994,disease,cardiomyopathy,MONDO
disease_disease,parent-child,37659,5252,disease,heart failure,MONDO,36432,5009,disease,congestive heart failure,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,36187,5010,disease,coronary artery disease,MONDO
disease_disease,parent-child,36313,473,disease,arterial disorder,MONDO,36187,5010,disease,coronary artery disease,MONDO
disease_disease,parent-child,37523,24636,disease,inflammation of heart layer,MONDO,33670,5025_6669,disease,endocarditis,MONDO_grouped
disease_disease,parent-child,37522,24643,disease,myocardial disorder,MONDO,37180,5068,disease,myocardial infarction (disease),MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,37659,5252,disease,heart failure,MONDO
disease_disease,parent-child,37659,5252,disease,heart failure,MONDO,84138,5253,disease,high output heart failure,MONDO
disease_disease,parent-child,37659,5252,disease,heart failure,MONDO,37716,5254,disease,symptomatic heart failure,MONDO
disease_disease,parent-child,37716,5254,disease,symptomatic heart failure,MONDO,97044,5255,disease,mild heart failure,MONDO
disease_disease,parent-child,37716,5254,disease,symptomatic heart failure,MONDO,97045,5256,disease,moderate heart failure,MONDO
disease_disease,parent-child,37716,5254,disease,symptomatic heart failure,MONDO,97046,5257,disease,advanced heart failure,MONDO
disease_disease,parent-child,36173,651,disease,thoracic disease,MONDO,35669,5267,disease,heart disease,MONDO
disease_disease,parent-child,35761,4995,disease,cardiovascular disease,MONDO,35669,5267,disease,heart disease,MONDO
disease_disease,parent-child,37731,5479,disease,atrial tachycardia,MONDO,33698,5310,disease,atrial flutter (disease),MONDO
disease_disease,parent-child,37744,6715,disease,coronary stenosis,MONDO,94844,5355,disease,coronary restenosis,MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,37894,5356,disease,coronary vasospasm,MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,97067,5436,disease,postoperative ventricular dysfunction,MONDO
disease_disease,parent-child,37256,45001,disease,cardiac ventricle disease,MONDO,97067,5436,disease,postoperative ventricular dysfunction,MONDO
disease_disease,parent-child,37522,24643,disease,myocardial disorder,MONDO,35668,5449,disease,conduction system disorder,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,35453,5453,disease,congenital heart disease,MONDO
disease_disease,parent-child,36967,24239,disease,congenital anomaly of cardiovascular system,MONDO,35453,5453,disease,congenital heart disease,MONDO
disease_disease,parent-child,35668,5449,disease,conduction system disorder,MONDO,97078,5476,disease,atrioventricular node disease,MONDO
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,37769,5477,disease,ventricular tachycardia,MONDO
disease_disease,parent-child,37769,5477,disease,ventricular tachycardia,MONDO,83751,5478,disease,torsades de pointes,MONDO
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,37731,5479,disease,atrial tachycardia,MONDO
disease_disease,parent-child,35690,2254,disease,syndromic disease,MONDO,83812,5542,disease,acute coronary syndrome,MONDO
disease_disease,parent-child,37786,24644,disease,myocardial ischemia,MONDO,83812,5542,disease,acute coronary syndrome,MONDO
disease_disease,parent-child,37792,19512,disease,congenital heart malformation,MONDO,37644,5584,disease,congenital left-sided heart lesions,MONDO
disease_disease,parent-child,33673,1370,disease,pericardial effusion (disease),MONDO,84062,5783,disease,hemopericardium (disease),MONDO
disease_disease,parent-child,35955,5904,disease,pericarditis (disease),MONDO,97194,5903,disease,pericardial tuberculosis,MONDO
disease_disease,parent-child,35604,368,disease,extrapulmonary tuberculosis,MONDO,97194,5903,disease,pericardial tuberculosis,MONDO
disease_disease,parent-child,37894,5356,disease,coronary vasospasm,MONDO,83962,6021,disease,Prinzmetal angina,MONDO
disease_disease,parent-child,37923,36688,disease,rhabdomyoma,MONDO,94579,6123,disease,cardiac rhabdomyoma (disease),MONDO
disease_disease,parent-child,37281,21450,disease,benign neoplasm of heart,MONDO,94579,6123,disease,cardiac rhabdomyoma (disease),MONDO
disease_disease,parent-child,38044,21661,disease,coronary atherosclerosis,MONDO,84324,6658,disease,arteriolosclerosis,MONDO
disease_disease,parent-child,38044,21661,disease,coronary atherosclerosis,MONDO,83937,6659,disease,arteriosclerosis obliterans,MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped
disease_disease,parent-child,38045,17131,disease,genetic cardiac anomaly,MONDO,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped
disease_disease,parent-child,38046,20294,disease,atrial defect and interatrial communication,MONDO,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped
disease_disease,parent-child,36491,2078,disease,heart septal defect,MONDO,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,94616,6714,disease,coronary aneurysm,MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,37744,6715,disease,coronary stenosis,MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,83823,6716,disease,coronary thrombosis,MONDO
disease_disease,parent-child,35766,831,disease,thrombotic disease,MONDO,83823,6716,disease,coronary thrombosis,MONDO
disease_disease,parent-child,36432,5009,disease,congestive heart failure,MONDO,83803,6727,disease,diastolic heart failure,MONDO
disease_disease,parent-child,38056,5201,disease,restrictive cardiomyopathy,MONDO,84017,6746,disease,endomyocardial fibrosis,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,97500,6779,disease,heart aneurysm,MONDO
disease_disease,parent-child,36777,5583,disease,non-human animal disease,MONDO,97501,6780,disease,heartwater disease,MONDO
disease_disease,parent-child,35518,16003,disease,ehrlichiosis,MONDO,97501,6780,disease,heartwater disease,MONDO
disease_disease,parent-child,36187,5010,disease,coronary artery disease,MONDO,84320,6805,disease,intermediate coronary syndrome,MONDO
disease_disease,parent-child,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped,97519,6839,disease,Lutembacher syndrome,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,36433,6955,disease,rheumatic heart disease,MONDO
disease_disease,parent-child,35638,21166,disease,inflammatory disease,MONDO,36433,6955,disease,rheumatic heart disease,MONDO
disease_disease,parent-child,36432,5009,disease,congestive heart failure,MONDO,97569,6993,disease,systolic heart failure,MONDO
disease_disease,parent-child,38142,18771,disease,congenital anomaly of ventricular septum,MONDO,31957,7112,disease,interventricular septum aneurysm,MONDO
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,28295,7172_13750_13770_12654_13123_11938_13011_7173_13567_6664,disease,atrial septal defect,MONDO_grouped
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,29717,7174,disease,Lown-Ganong-Levine syndrome,MONDO
disease_disease,parent-child,38045,17131,disease,genetic cardiac anomaly,MONDO,33281,7194,disease,familial bicuspid aortic valve,MONDO
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,31489,7212,disease,brachydactyly-long thumb syndrome,MONDO
disease_disease,parent-child,30839,7702_15284_16432,disease,heart-hand syndrome,MONDO_grouped,31489,7212,disease,brachydactyly-long thumb syndrome,MONDO
disease_disease,parent-child,27183,14798_7217_7218_14032_7219_20701_7222_7216_7221_7223_11757_7220_12658_13244_19679_19677_7215_19676_21004_19678_22599,disease,brachydactyly,MONDO_grouped,29635,7224,disease,"brachydactyly, type E, with atrial septal defect, type 2",MONDO
disease_disease,parent-child,35668,5449,disease,conduction system disorder,MONDO,28103,7240_7701_11474_19490,disease,progressive familial heart block,MONDO_grouped
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,35506,7263,disease,cardiac rhythm disease,MONDO
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,29525,7264,disease,sudden cardiac arrest,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,32346,7318,disease,Alagille syndrome,MONDO
disease_disease,parent-child,38225,24471,disease,non-inflammatory vasculopathy,MONDO,30830,7385,disease,idiopathic spontaneous coronary artery dissection,MONDO
disease_disease,parent-child,36671,43008,disease,genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability,MONDO,30765,7461,disease,short stature-valvular heart disease-characteristic facies syndrome,MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,29140,7465,disease,distichiasis with congenital anomalies of the heart and peripheral vasculature,MONDO
disease_disease,parent-child,31211,7732,disease,Holt-Oram syndrome,MONDO,30839,7702_15284_16432,disease,heart-hand syndrome,MONDO_grouped
disease_disease,parent-child,30839,7702_15284_16432,disease,heart-hand syndrome,MONDO_grouped,31211,7732,disease,Holt-Oram syndrome,MONDO
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,31211,7732,disease,Holt-Oram syndrome,MONDO
disease_disease,parent-child,38045,17131,disease,genetic cardiac anomaly,MONDO,38947,8004,disease,familial mitral valve prolapse,MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,31297,8343,disease,pulmonary atresia with ventricular septal defect,MONDO
disease_disease,parent-child,27495,16581,disease,conotruncal heart malformations,MONDO,31297,8343,disease,pulmonary atresia with ventricular septal defect,MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,28037,8349,disease,"pulmonic stenosis, atrial septal defect, and unique electrocardiographic abnormalities",MONDO
disease_disease,parent-child,35512,2320,disease,congenital nervous system disorder,MONDO,31894,8488,disease,holoprosencephaly-radial heart renal anomalies syndrome,MONDO
disease_disease,parent-child,35496,15159,disease,multiple congenital anomalies/dysmorphic syndrome-intellectual disability,MONDO,31894,8488,disease,holoprosencephaly-radial heart renal anomalies syndrome,MONDO
disease_disease,parent-child,35445,508,disease,syndromic intellectual disability,MONDO,31894,8488,disease,holoprosencephaly-radial heart renal anomalies syndrome,MONDO
disease_disease,parent-child,38106,15620,disease,syndromic urogenital tract malformation,MONDO,31894,8488,disease,holoprosencephaly-radial heart renal anomalies syndrome,MONDO
disease_disease,parent-child,35666,19721_19720,disease,renal or urinary tract malformation,MONDO_grouped,31894,8488,disease,holoprosencephaly-radial heart renal anomalies syndrome,MONDO
disease_disease,parent-child,38118,43007,disease,genetic multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome,MONDO,32606,8499,disease,short stature-wormian bones-dextrocardia syndrome,MONDO
disease_disease,parent-child,38045,17131,disease,genetic cardiac anomaly,MONDO,28231,8504,disease,supravalvular aortic stenosis (disease),MONDO
disease_disease,parent-child,27495,16581,disease,conotruncal heart malformations,MONDO,27857,8542,disease,tetralogy of fallot,MONDO
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,27857,8542,disease,tetralogy of fallot,MONDO
disease_disease,parent-child,35748,24623_18751,disease,otorhinolaryngologic disease,MONDO_grouped,31179,8645,disease,ventricular extrasystoles with syncopal episodes-perodactyly-robin sequence syndrome,MONDO
disease_disease,parent-child,36671,43008,disease,genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability,MONDO,31179,8645,disease,ventricular extrasystoles with syncopal episodes-perodactyly-robin sequence syndrome,MONDO
disease_disease,parent-child,35438,23603,disease,hereditary connective tissue disorder,MONDO,31179,8645,disease,ventricular extrasystoles with syncopal episodes-perodactyly-robin sequence syndrome,MONDO
disease_disease,parent-child,37898,15335,disease,orofacial clefting syndrome,MONDO,31179,8645,disease,ventricular extrasystoles with syncopal episodes-perodactyly-robin sequence syndrome,MONDO
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,27321,8648,disease,"ventricular tachycardia, familial",MONDO
disease_disease,parent-child,37769,5477,disease,ventricular tachycardia,MONDO,27321,8648,disease,"ventricular tachycardia, familial",MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,30529,8678,disease,Williams syndrome,MONDO
disease_disease,parent-child,35660,992,disease,heart conduction disease,MONDO,28540,8685,disease,Wolff-Parkinson-white syndrome (disease),MONDO
disease_disease,parent-child,38106,15620,disease,syndromic urogenital tract malformation,MONDO,30870,8832,disease,right atrial isomerism (disease),MONDO
disease_disease,parent-child,38045,17131,disease,genetic cardiac anomaly,MONDO,30870,8832,disease,right atrial isomerism (disease),MONDO
disease_disease,parent-child,35666,19721_19720,disease,renal or urinary tract malformation,MONDO_grouped,30870,8832,disease,right atrial isomerism (disease),MONDO
disease_disease,parent-child,38546,18677,disease,visceral heterotaxy,MONDO,30870,8832,disease,right atrial isomerism (disease),MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,29617,8848,disease,atrioventricular dissociation (disease),MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,30985,8908,disease,MGAT2-CDG,MONDO
disease_disease,parent-child,32712,10771,disease,histiocytoid cardiomyopathy,MONDO,30643,8911,disease,"cardiac lipidosis, familial",MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,30004,8912,disease,cardiac septal defects with coarctation of the aorta,MONDO
disease_disease,parent-child,35432,3847,disease,Mendelian disease,MONDO,28573,8913,disease,"cardiac valvular defect, developmental",MONDO
disease_disease,parent-child,35458,6025,disease,autosomal recessive disease,MONDO,30939,8917,disease,heart defects-limb shortening syndrome,MONDO
disease_disease,parent-child,36671,43008,disease,genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability,MONDO,30939,8917,disease,heart defects-limb shortening syndrome,MONDO
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,30939,8917,disease,heart defects-limb shortening syndrome,MONDO
